"eventLabel"	"wikidataId"
"Eastern Front (World War II)"	"http://www.wikidata.org/entity/Q189266"
"Association football"	"http://www.wikidata.org/entity/Q2736"
"World War II"	"http://www.wikidata.org/entity/Q362"
"World War I"	"http://www.wikidata.org/entity/Q361"
"Russian Census (2002)"	"http://www.wikidata.org/entity/Q2348116"
"Academy Awards"	"http://www.wikidata.org/entity/Q19020"
"Ukrainian Census (2001)"	"http://www.wikidata.org/entity/Q1976830"
"Russian Civil War"	"http://www.wikidata.org/entity/Q79911"
"October Revolution"	"http://www.wikidata.org/entity/Q42976"
"United Nations"	"http://www.wikidata.org/entity/Q1065"
"Basketball"	"http://www.wikidata.org/entity/Q5372"
"Russian Census (2010)"	"http://www.wikidata.org/entity/Q787182"
"Grammy Awards"	"http://www.wikidata.org/entity/Q41254"
"Ice hockey"	"http://www.wikidata.org/entity/Q41466"
"Russian Academy of Sciences"	"http://www.wikidata.org/entity/Q83172"
"United Russia"	"http://www.wikidata.org/entity/Q151469"
"2022 Russian invasion of Ukraine"	"http://www.wikidata.org/entity/Q110999040"
"UEFA Champions League"	"http://www.wikidata.org/entity/Q18756"
"UEFA Europa League"	"http://www.wikidata.org/entity/Q18760"
"2012 Summer Olympics"	"http://www.wikidata.org/entity/Q8577"
"National Hockey League"	"http://www.wikidata.org/entity/Q1215892"
"Major League Soccer"	"http://www.wikidata.org/entity/Q18543"
"2008 Summer Olympics"	"http://www.wikidata.org/entity/Q8567"
"2016 Summer Olympics"	"http://www.wikidata.org/entity/Q8613"
"Winter War"	"http://www.wikidata.org/entity/Q134949"
"COVID-19 pandemic"	"http://www.wikidata.org/entity/Q81068910"
"National Basketball Association"	"http://www.wikidata.org/entity/Q155223"
"Russian Premier League"	"http://www.wikidata.org/entity/Q182165"
"Formula One"	"http://www.wikidata.org/entity/Q1968"
"Imperial Academy of Arts"	"http://www.wikidata.org/entity/Q628254"
"French invasion of Russia"	"http://www.wikidata.org/entity/Q179250"
"Premier League"	"http://www.wikidata.org/entity/Q9448"
"2004 Summer Olympics"	"http://www.wikidata.org/entity/Q8558"
"Renaissance"	"http://www.wikidata.org/entity/Q4692"
"February Revolution"	"http://www.wikidata.org/entity/Q101534"
"Single-elimination tournament"	"http://www.wikidata.org/entity/Q864897"
"French Revolution"	"http://www.wikidata.org/entity/Q6534"
"Russo-Japanese War"	"http://www.wikidata.org/entity/Q159950"
"2000 Summer Olympics"	"http://www.wikidata.org/entity/Q8544"
"Russian Second League"	"http://www.wikidata.org/entity/Q209955"
"Bolsheviks"	"http://www.wikidata.org/entity/Q83372"
"American Civil War"	"http://www.wikidata.org/entity/Q8676"
"Crimean War"	"http://www.wikidata.org/entity/Q254106"
"Master's degree"	"http://www.wikidata.org/entity/Q183816"
"Russo-Turkish War (1877–1878)"	"http://www.wikidata.org/entity/Q174205"
"Bundesliga"	"http://www.wikidata.org/entity/Q82595"
"Soviet Top League"	"http://www.wikidata.org/entity/Q490700"
"Battle of the Dnieper"	"http://www.wikidata.org/entity/Q313836"
"Ukrainian Premier League"	"http://www.wikidata.org/entity/Q206073"
"1996 Summer Olympics"	"http://www.wikidata.org/entity/Q8531"
"Russian First League"	"http://www.wikidata.org/entity/Q162533"
"1980 Summer Olympics"	"http://www.wikidata.org/entity/Q8450"
"The Holocaust"	"http://www.wikidata.org/entity/Q2763"
"FIFA World Cup"	"http://www.wikidata.org/entity/Q19317"
"Cannes Film Festival"	"http://www.wikidata.org/entity/Q42369"
"Battle of Stalingrad"	"http://www.wikidata.org/entity/Q38789"
"National Academy of Sciences"	"http://www.wikidata.org/entity/Q270794"
"Spanish Civil War"	"http://www.wikidata.org/entity/Q10859"
"1992 Summer Olympics"	"http://www.wikidata.org/entity/Q8488"
"Battle of Kursk"	"http://www.wikidata.org/entity/Q130861"
"Siege of Leningrad"	"http://www.wikidata.org/entity/Q151860"
"Copa Libertadores"	"http://www.wikidata.org/entity/Q184795"
"Monument historique"	"http://www.wikidata.org/entity/Q916475"
"Belarusian Premier League"	"http://www.wikidata.org/entity/Q244464"
"1988 Summer Olympics"	"http://www.wikidata.org/entity/Q8470"
"Rowing (sport)"	"http://www.wikidata.org/entity/Q159354"
"Rector (academia)"	"http://www.wikidata.org/entity/Q212071"
"Vietnam War"	"http://www.wikidata.org/entity/Q8740"
"Eredivisie"	"http://www.wikidata.org/entity/Q167541"
