Q634	Planet
Q901	Scientist
Q3863	Asteroid
Q8445	Marriage
Q7365	Muscle
Q9620	Nerve
Q8161	Tax
Q9609	Vein
Q11436	Aircraft
Q14660	Flag
Q11707	Restaurant
Q12518	Tower
Q16917	Hospital
Q23691	NationalAnthem
Q18127	RecordLabel
Q25956	SpaceStation
Q27686	Hotel
Q40348	Lawyer
Q33231	Photographer
Q30461	President
Q43501	Zoo
Q101600	BrownDwarf
Q160742	Abbey
Q166118	Archive
Q190200	Altitude
Q245068	Comic
Q340169	Media
Q31374404	ShoppingMall
Q729	Animal
Q315	Language
Q34770	Language
Q532	Village
Q577	Year
Q12280	Bridge
Q11204	Legislature
Q7191	NobelPrize
Q4022	River
Q11303	Skyscraper
Q3887	SolarEclipse
Q23397	Lake
Q25326	Mollusca
Q16521	Taxon
Q41710	EthnicGroup
Q40218	Spacecraft
Q79007	Street
Q121998	Ambassador
Q156362	Winery
Q178885	Deity
Q178790	TradeUnion
Q211236	Celebrity
Q202216	OverseasDepartment
Q215380	Band
Q274153	WaterTower
Q484188	SerialKiller
Q628099	SoccerManager
Q847400	Skater
Q1198887	MusicDirector
Q2085381	Publisher
Q2133344	SpaceMission
Q2354973	RoadTunnel
Q2870166	WaterRide
Q3387717	TheatreDirector
Q10833314	TennisPlayer
Q116	Monarch
Q1444	Organ
Q4886	CultivatedVariety
Q7187	Gene
Q7278	PoliticalParty
Q23413	Castle
Q19088	Eukaryote
Q23442	Island
Q32112	Boxing
Q35666	Glacier
Q30185	Mayor
Q25379	Play
Q33829	Population
Q34442	Road
Q28389	ScreenWriter
Q41176	Building
Q39888	Ligament
Q48806	SpaceShuttle
Q83405	Factory
Q172937	Polyhedron
Q159719	PowerStation
Q191067	Article
Q220505	FilmFestival
Q212980	Psychologist
Q524572	TermOfOffice
Q737498	AcademicJournal
Q842606	RomanEmperor
Q855091	Guitarist
Q868557	MusicFestival
Q931260	Murderer
Q1298668	ResearchProject
Q1353183	LaunchPad
Q1777138	Racecourse
Q2623243	Model
Q3053337	Employer
Q3282637	Producer
Q5185279	Poem
Q33999	Actor
Q6631808	BaseballLeague
Q11514315	HistoricalPeriod
Q13474373	Wrestler
Q14467526	Linguist
Q392928	GeologicalPeriod
Q747381	LightNovel
Q1002697	PeriodicalLiterature
Q1107656	Garden
Q1248784	Airport
Q1370598	ReligiousBuilding
