is event (y/n)?	Wikidata ID	Others
n	Q50668012	en: Farabi nl: Farabi	wikidata (Q773668)	
n	Q59547836	en: Three mathematical problems in logic de: Three mathematical problems in logic fr: Three mathematical problems in logic nl: Three mathematical problems in logic es: Three mathematical problems in logic	wikidata (Q1266946)	
n	Q78450909	de: Gesetz über Rabatte für Arzneimittel	wikidata (Q1006079)	
n	Q59576977	en: Special status regions : the territorial accommodation of cultural difference de: Special status regions : the territorial accommodation of cultural difference fr: Special status regions : the territorial accommodation of cultural difference nl: Special status regions : the territorial accommodation of cultural difference es: Special status regions : the territorial accommodation of cultural difference	wikidata (Q1266946)	
n	Q65169460	fr: Code de la construction et de l'habitation	wikidata (Q50380591)	
y	Q485384	Sampoong Department Store collapse      Sampoong Department Store collapse      Q1309431
y	Q1119956	Expo '70
y	Q79859	2014 FIFA World Cup
y	Q28653821	Eierwurf von Halle
n	Q1936626	aisleless church
y	Q81068910	COVID-19 pandemic
y	Q63167656	2019 fire at Notre-Dame de Paris
